5.0	9.0
5.1	10.0
5.2	10.0
5.3	10.0
5.4	11.0
5.5	13.0
5.6	15.0
5.7	18.0
5.8	23.0
5.9	28.0
6.0	33.0
6.1	39.0
6.2	43.0
6.3	47.0
6.4	50.0
6.5	56.0
6.6	57.0
6.7	59.0
6.8	63.0
6.9	64.0
7.0	65.0
7.1	67.0
7.2	68.0
7.3	69.0
7.4	71.0
7.5	71.0
7.6	71.0
7.7	71.0
7.8	73.0
7.9	71.0
8.0	68.0
8.1	68.0
8.2	68.0
8.3	67.0
8.4	67.0
8.5	63.0
8.6	62.0
8.7	60.0
8.8	58.0
8.9	59.0
9.0	58.0
9.1	56.0
9.2	53.0
9.3	54.0
9.4	55.0
9.5	50.0
9.6	48.0
9.7	48.0
9.8	46.0
9.9	45.0
10.0	43.0
