3.0	66.0
3.1	56.0
3.2	53.0
3.3	49.0
3.4	60.0
3.5	58.0
3.6	34.0
3.7	38.0
3.8	29.0
3.9	25.0
4.0	28.0
4.1	23.0
4.2	20.0
4.3	18.0
4.4	21.0
4.5	20.0
4.6	20.0
4.7	27.0
4.8	18.0
4.9	21.0
5.0	23.0
5.1	21.0
5.2	16.0
5.3	24.0
5.4	22.0
5.5	24.0
5.6	22.0
5.7	39.0
5.8	36.0
5.9	50.0
6.0	55.0
6.1	65.0
6.2	66.0
6.3	87.0
6.4	81.0
6.5	85.0
6.6	93.0
6.7	104.0
6.8	102.0
6.9	106.0
7.0	121.0
7.1	124.0
7.2	126.0
7.3	127.0
7.4	145.0
7.5	146.0
7.6	140.0
7.7	142.0
7.8	163.0
7.9	153.0
8.0	163.0
8.1	148.0
8.2	170.0
8.3	159.0
8.4	160.0
8.5	168.0
8.6	176.0
8.7	168.0
8.8	158.0
8.9	185.0
9.0	165.0
9.1	163.0
9.2	161.0
9.3	185.0
9.4	183.0
9.5	170.0
9.6	169.0
9.7	151.0
9.8	165.0
9.9	163.0
10.0	156.0
10.1	171.0
10.2	161.0
10.3	154.0
10.4	160.0
10.5	156.0
10.6	165.0
10.7	153.0
10.8	154.0
10.9	161.0
11.0	152.0
11.1	155.0
11.2	165.0
11.3	150.0
11.4	173.0
11.5	153.0
11.6	150.0
11.7	162.0
11.8	148.0
11.9	162.0
12.0	163.0
12.1	168.0
12.2	164.0
12.3	156.0
12.4	160.0
12.5	163.0
12.6	170.0
12.7	162.0
12.8	160.0
12.9	167.0
13.0	188.0
13.1	162.0
13.2	147.0
13.3	176.0
13.4	174.0
13.5	180.0
13.6	177.0
13.7	155.0
13.8	145.0
13.9	153.0
14.0	157.0
14.1	158.0
14.2	141.0
14.3	146.0
14.4	139.0
14.5	140.0
14.6	136.0
14.7	143.0
14.8	135.0
14.9	144.0
15.0	141.0
15.1	135.0
15.2	136.0
15.3	131.0
15.4	161.0
15.5	132.0
15.6	128.0
15.7	123.0
15.8	129.0
15.9	137.0
16.0	139.0
16.1	145.0
16.2	134.0
16.3	124.0
16.4	133.0
16.5	114.0
16.6	118.0
16.7	128.0
16.8	137.0
16.9	124.0
17.0	109.0
17.1	109.0
17.2	119.0
17.3	111.0
17.4	105.0
17.5	93.0
17.6	116.0
17.7	104.0
17.8	96.0
17.9	105.0
18.0	96.0
18.1	97.0
18.2	108.0
18.3	91.0
18.4	111.0
18.5	103.0
18.6	95.0
18.7	96.0
18.8	96.0
18.9	80.0
19.0	89.0
19.1	80.0
19.2	77.0
19.3	76.0
